year,game_code,a_team_code,b_team_code,a_result,b_result,a_points,b_points,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,half_leader,hometeam,b_home,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,surfaceint,year_opened,a_team_name,a_name_conference,team_name,name_conference
2010,657042820100918,657,428,1,0,13,7,14,24,39,39,72,72,119,119,62,62,14,8,3,4,0,4,0,26,6,6,ATEAM     ,B,1,9/18/2010,153,TCF Bank Stadium                                                           ,TEAM           ,Minneapolis                                                                ,MN,50805,FieldTurf                ,0,2009,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Minnesota                                         ,Big Ten Conference                                                         
2009,657051320091017,513,657,0,1,7,13,15,20,47,47,101,101,72,72,143,143,15,15,7,7,1,1,5,8,-6,6,BTEAM     ,A,0,10/17/2009,49,Notre Dame Stadium                                                         ,TEAM           ,South Bend                                                                 ,IN,80795,Grass                    ,1,1930,Notre Dame                                        ,Independent                                                                ,USC                                               ,Pac-12/Pac-10 Conference                                                   
2011,657051320111022,657,513,1,0,17,10,23,6,101,101,17,17,119,119,110,110,20,22,9,9,4,1,40,15,7,7,ATEAM     ,B,1,10/22/2011,49,Notre Dame Stadium                                                         ,TEAM           ,South Bend                                                                 ,IN,80795,Grass                    ,1,1930,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Notre Dame                                        ,Independent                                                                
2013,657051320131019,657,513,0,1,10,14,19,17,127,127,3,3,94,94,155,155,16,18,7,6,2,2,8,17,-4,4,BTEAM     ,B,1,10/19/2013,49,Notre Dame Stadium                                                         ,TEAM           ,South Bend                                                                 ,IN,80795,Grass                    ,1,1930,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Notre Dame                                        ,Independent                                                                
2009,657051820090912,657,518,1,0,7,10,21,15,75,75,34,34,82,82,171,171,18,11,8,5,2,1,10,5,-3,3,BTEAM     ,B,1,9/12/2009,99,Ohio Stadium                                                               ,TEAM           ,Columbus                                                                   ,OH,102329,FieldTurf                ,0,1922,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Ohio State                                        ,Big Ten Conference                                                         
2009,657052820101120,529,657,1,0,24,17,21,16,152,152,57,57,102,102,132,132,11,22,4,7,5,2,25,10,7,7,ATEAM     ,B,1,11/20/2010,107,Reser Stadium                                                              ,TEAM           ,Corvallis                                                                  ,OR,35362,FieldTurf                ,0,1953,Oregon                                            ,Pac-12/Pac-10 Conference                                                   ,USC                                               ,Pac-12/Pac-10 Conference                                                   
2011,657052920091031,529,657,0,1,7,21,26,15,-45,-45,86,86,98,98,177,177,16,18,4,3,0,1,0,10,-14,14,BTEAM     ,A,0,10/31/2009,108,Autzen Stadium                                                             ,TEAM           ,Eugene                                                                     ,OR,54000,FieldTurf                ,0,1967,Oregon                                            ,Pac-12/Pac-10 Conference                                                   ,USC                                               ,Pac-12/Pac-10 Conference                                                   
2013,657052920111119,657,528,1,0,21,14,22,9,97,97,29,29,214,214,72,72,12,21,2,9,0,3,0,22,7,7,ATEAM     ,B,1,11/19/2011,108,Autzen Stadium                                                             ,TEAM           ,Eugene                                                                     ,OR,54000,FieldTurf                ,0,1967,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Oregon State                                      ,Pac-12/Pac-10 Conference                                                   
2008,657067420081115,657,674,1,0,17,17,12,26,35,35,150,150,48,48,54,54,9,9,3,4,1,3,5,24,0,0,TIED      ,B,1,11/15/2008,19,Stanford Stadium                                                           ,TEAM           ,Stanford                                                                   ,CA,50000,Grass                    ,1,1921,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Stanford                                          ,Pac-12/Pac-10 Conference                                                   
2010,657067420101009,657,674,1,0,14,14,16,17,-34,-34,36,36,187,187,126,126,20,11,6,3,1,3,5,10,0,0,TIED      ,B,1,10/9/2010,19,Stanford Stadium                                                           ,TEAM           ,Stanford                                                                   ,CA,50000,Grass                    ,1,1921,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Stanford                                          ,Pac-12/Pac-10 Conference                                                   
2012,657067420120915,657,674,0,1,14,7,16,13,19,19,98,98,148,148,43,43,20,17,7,9,6,4,59,32,7,7,ATEAM     ,B,1,9/15/2012,19,Stanford Stadium                                                           ,TEAM           ,Stanford                                                                   ,CA,50000,Grass                    ,1,1921,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Stanford                                          ,Pac-12/Pac-10 Conference                                                   
2012,657068820120908,688,657,0,1,0,14,16,20,45,45,134,134,50,50,57,57,17,17,8,3,6,0,43,0,-14,14,BTEAM     ,A,0,9/8/2012,157,Metlife Stadium                                                            ,NEUTRAL        ,East Rutherford                                                            ,NJ,82566,FieldTurf                ,0,2010,Syracuse                                          ,Atlantic Coast Conference                                                  ,USC                                               ,Pac-12/Pac-10 Conference                                                   
2012,657073220121004,732,657,0,1,21,24,10,16,51,51,205,205,153,153,135,135,22,15,9,4,7,5,40,57,-3,3,BTEAM     ,A,0,10/4/2012,135,Rice Eccles Stadium                                                        ,TEAM           ,Salt Lake City                                                             ,UT,45017,FieldTurf                ,0,1927,Utah                                              ,Pac-12/Pac-10 Conference                                                   ,USC                                               ,Pac-12/Pac-10 Conference                                                   
2009,657075620090919,756,657,1,0,10,10,19,17,20,20,105,105,103,103,85,85,11,13,4,6,1,3,15,10,0,0,TIED      ,A,0,9/19/2009,139,Husky Stadium                                                              ,TEAM           ,Seattle                                                                    ,WA,72500,FieldTurf                ,0,1920,Washington                                        ,Pac-12/Pac-10 Conference                                                   ,USC                                               ,Pac-12/Pac-10 Conference                                                   
2009,659038820090905,388,659,1,0,7,14,11,18,23,23,49,49,135,135,53,53,16,18,4,3,4,2,15,15,-7,7,BTEAM     ,A,0,9/5/2009,142,Joan Edwards Stadium                                                       ,TEAM           ,Huntington                                                                 ,WV,38016,FieldTurf                ,0,1991,Marshall                                          ,Conference USA                                                             ,Southern Illinois                                 ,MVFC/Gateway                                                               
2012,659041420120908,659,414,0,1,7,14,17,14,55,55,49,49,124,124,168,168,12,21,6,5,3,2,10,9,-7,7,BTEAM     ,B,1,9/8/2012,101,Fred C. Yager Stadium                                                      ,TEAM           ,Oxford                                                                     ,OH,30012,FieldTurf                ,0,1983,Southern Illinois                                 ,MVFC/Gateway                                                               ,Miami (Ohio)                                      ,Mid-American Conference                                                    
2008,659050920080913,659,509,0,1,7,16,16,15,48,48,109,109,69,69,156,156,10,21,2,6,1,3,6,20,-9,9,BTEAM     ,B,1,9/13/2008,46,Ryan Field                                                                 ,TEAM           ,Evanston                                                                   ,IL,49256,Grass                    ,1,1926,Southern Illinois                                 ,MVFC/Gateway                                                               ,Northwestern                                      ,Big Ten Conference                                                         
2008,663012820081004,128,663,1,0,10,10,14,13,78,78,8,8,32,32,156,156,9,24,5,7,1,1,5,7,0,0,TIED      ,A,0,10/4/2008,146,Bright House Networks Stadium                                              ,TEAM           ,Orlando                                                                    ,FL,45301,Grass                    ,1,2007,UCF                                               ,Big East Conference/American Athletic                                      ,SMU                                               ,Big East Conference/American Athletic                                      
2010,663012820101204,663,128,0,1,0,7,11,25,43,43,93,93,89,89,123,123,13,15,6,4,3,0,30,0,-7,7,BTEAM     ,B,1,12/4/2010,146,Bright House Networks Stadium                                              ,TEAM           ,Orlando                                                                    ,FL,45301,Grass                    ,1,2007,SMU                                               ,Big East Conference/American Athletic                                      ,UCF                                               ,Big East Conference/American Athletic                                      
2012,663012820121103,128,663,1,0,21,10,18,17,135,135,73,73,57,57,68,68,9,20,4,11,0,0,0,0,11,11,ATEAM     ,A,0,11/3/2012,146,Bright House Networks Stadium                                              ,TEAM           ,Orlando                                                                    ,FL,45301,Grass                    ,1,2007,UCF                                               ,Big East Conference/American Athletic                                      ,SMU                                               ,Big East Conference/American Athletic                                      
