year,game_code,a_team_name,a_name_conference,a_team_code,a_result,a_points,b_team_code,team_name,name_conference,b_result,b_points,half_leader,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,year_opened
2009,47003700000000,Auburn                                            ,Southeastern Conference                                                    ,37,1,33,47,Ball State                                        ,Mid-American Conference                                                    ,0,10,ATEAM     ,18,20,153,153,74,74,202,202,-24,-24,18,19,3,7,1,3,5,24,23,23,9/26/2009,1,Jordan-Hare Stadium                                                        ,TEAM           ,Auburn                                                                     ,AL,87451,Grass                    ,1939
2009,48023500000000,Florida                                           ,Southeastern Conference                                                    ,235,1,42,48,Charleston So.                                    ,Big South                                                                  ,0,3,ATEAM     ,11,14,187,187,36,36,188,188,157,157,17,27,6,10,4,6,20,34,39,39,9/5/2009,27,Ben Hill Griffin Stadium at Florida Field                                  ,TEAM           ,Gainesville                                                                ,FL,88548,Grass                    ,1930
2010,48033400000000,Kentucky                                          ,Southeastern Conference                                                    ,334,1,28,48,Charleston So.                                    ,Big South                                                                  ,0,14,ATEAM     ,12,25,115,115,73,73,81,81,88,88,19,8,8,1,2,0,10,0,14,14,11/6/2010,53,Commonwealth Stadium                                                       ,TEAM           ,Lexington                                                                  ,KY,67606,Grass                    ,1973
2009,51069700000000,Texas A&M                                         ,Southeastern Conference                                                    ,697,1,21,51,Baylor                                            ,Big 12 Conference                                                          ,0,3,ATEAM     ,23,17,204,204,35,35,27,27,46,46,10,25,4,4,3,4,20,51,18,18,11/21/2009,120,Kyle Field                                                                 ,TEAM           ,College Station                                                            ,TX,82600,Grass                    ,1929
2011,51069700000000,Texas A&M                                         ,Southeastern Conference                                                    ,697,1,24,51,Baylor                                            ,Big 12 Conference                                                          ,0,14,ATEAM     ,18,19,116,116,35,35,155,155,217,217,22,23,8,6,6,4,28,30,10,10,10/15/2011,120,Kyle Field                                                                 ,TEAM           ,College Station                                                            ,TX,82600,Grass                    ,1929
2008,67073600000000,Vanderbilt                                        ,Southeastern Conference                                                    ,736,1,6,67,Boston College                                    ,Atlantic Coast Conference                                                  ,0,7,BTEAM     ,15,22,36,36,77,77,91,91,16,16,8,18,4,10,0,0,0,0,-1,1,12/31/2008,118,LP Field                                                                   ,NEUTRAL        ,Nashville                                                                  ,TN,67000,Grass                    ,1999
2012,71023500000000,Florida                                           ,Southeastern Conference                                                    ,235,1,14,71,Bowling Green                                     ,Mid-American Conference                                                    ,0,7,ATEAM     ,21,11,139,139,29,29,58,58,117,117,10,23,3,12,3,7,10,41,7,7,9/1/2012,27,Ben Hill Griffin Stadium at Florida Field                                  ,TEAM           ,Gainesville                                                                ,FL,88548,Grass                    ,1930
2011,77043300000000,Mississippi                                       ,Southeastern Conference                                                    ,433,0,3,77,BYU                                               ,Independent                                                                ,1,0,ATEAM     ,17,14,10,10,28,28,25,25,74,74,7,22,3,11,2,0,10,0,3,3,9/3/2011,76,Vaught-Hemingway Stadium                                                   ,TEAM           ,Oxford                                                                     ,MS,60580,AstroPlay                ,1915
2012,86025700000000,Georgia                                           ,Southeastern Conference                                                    ,257,1,24,86,Buffalo                                           ,Mid-American Conference                                                    ,0,16,ATEAM     ,14,27,48,48,144,144,134,134,93,93,14,15,8,6,2,4,15,17,8,8,9/1/2012,36,Sanford Stadium                                                            ,TEAM           ,Athens                                                                     ,GA,92746,Grass                    ,1929
2008,86043400000000,Missouri                                          ,Southeastern Conference                                                    ,434,1,17,86,Buffalo                                           ,Mid-American Conference                                                    ,0,14,ATEAM     ,15,19,81,81,50,50,98,98,65,65,25,12,5,6,3,2,15,20,3,3,9/20/2008,73,Faurot Field                                                               ,TEAM           ,Columbia                                                                   ,MO,62000,FieldTurf                ,1927
2011,86069400000000,Tennessee                                         ,Southeastern Conference                                                    ,694,1,31,86,Buffalo                                           ,Mid-American Conference                                                    ,0,7,ATEAM     ,20,13,111,111,111,111,239,239,46,46,20,18,6,11,1,0,5,0,24,24,10/1/2011,114,Neyland Stadium                                                            ,TEAM           ,Knoxville                                                                  ,TN,102037,Grass                    ,1921
