year,game_code,a_team_name,a_name_conference,a_team_code,a_result,a_points,b_team_code,team_name,name_conference,b_result,b_points,half_leader,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,year_opened
2012,587055000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,0,0,545,Pittsburgh                                        ,Atlantic Coast Conference                                                  ,1,21,BTEAM     ,14,19,37,37,-57,-57,13,13,207,207,13,28,10,11,2,0,5,0,-21,21,11/24/2012,110,Heinz Field                                                                ,TEAM           ,Pittsburgh                                                                 ,PA,64450,Grass                    ,2001
2008,587065000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,1,21,651,South Florida                                     ,Big East Conference/American Athletic                                      ,0,10,ATEAM     ,13,17,22,22,53,53,54,54,211,211,16,24,5,7,2,3,10,30,11,11,11/15/2008,35,Raymond James Stadium                                                      ,TEAM           ,Tampa                                                                      ,FL,41441,Grass                    ,1998
2010,587065000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,0,17,651,South Florida                                     ,Big East Conference/American Athletic                                      ,1,17,TIED      ,12,20,38,38,86,86,103,103,45,45,11,10,1,5,3,5,10,30,0,0,11/3/2010,35,Raymond James Stadium                                                      ,TEAM           ,Tampa                                                                      ,FL,41441,Grass                    ,1998
2012,587065000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,1,3,651,South Florida                                     ,Big East Conference/American Athletic                                      ,0,6,BTEAM     ,19,18,56,56,16,16,121,121,73,73,20,12,9,5,3,4,29,30,-3,3,9/13/2012,35,Raymond James Stadium                                                      ,TEAM           ,Tampa                                                                      ,FL,41441,Grass                    ,1998
2013,587066000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,0,21,663,SMU                                               ,Big East Conference/American Athletic                                      ,1,7,ATEAM     ,20,15,50,50,114,114,72,72,121,121,12,23,4,7,1,5,10,25,14,14,10/5/2013,122,Gerald Ford Stadium                                                        ,TEAM           ,Dallas                                                                     ,TX,32000,A-Turf                   ,2000
2009,587069000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,0,10,688,Syracuse                                          ,Atlantic Coast Conference                                                  ,1,24,BTEAM     ,13,26,9,9,121,121,25,25,131,131,9,12,3,2,0,5,0,22,-14,14,11/21/2009,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,1980
2011,587069000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,1,3,688,Syracuse                                          ,Atlantic Coast Conference                                                  ,0,7,BTEAM     ,21,7,99,99,60,60,157,157,19,19,26,12,13,5,6,4,40,15,-4,4,10/1/2011,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,1980
2012,587069000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,1,0,690,Temple                                            ,Big East Conference/American Athletic                                      ,0,10,BTEAM     ,11,26,81,81,23,23,-8,-8,58,58,11,8,6,2,3,4,14,23,-10,10,10/20/2012,109,Lincoln Financial Field                                                    ,TEAM           ,Philadelphia                                                               ,PA,66000,Grass                    ,2003
2009,587073000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,1,17,725,Army                                              ,Independent                                                                ,0,3,ATEAM     ,18,21,17,17,76,76,105,105,16,16,8,6,3,4,1,1,10,8,14,14,11/12/2011,158,Yankee Stadium                                                             ,NEUTRAL        ,New York                                                                   ,NY,52325,Grass                    ,2009
2011,587073000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,1,6,725,Army                                              ,Independent                                                                ,0,6,TIED      ,10,27,29,29,109,109,71,71,48,48,13,5,6,1,2,3,20,15,0,0,9/20/2008,62,Navy-Marine Corps Memorial Stadium                                         ,TEAM           ,Annapolis                                                                  ,MD,35000,FieldTurf                ,1959
2012,587074000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,0,10,742,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,1,0,ATEAM     ,17,17,66,66,86,86,26,26,68,68,17,21,11,10,8,0,45,0,10,10,12/28/2012,32,Citrus Bowl                                                                ,NEUTRAL        ,Orlando                                                                    ,FL,65438,Grass                    ,1947
2008,587077000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,0,10,768,West Virginia                                     ,Big 12 Conference                                                          ,1,17,BTEAM     ,16,21,49,49,98,98,116,116,105,105,15,13,8,4,1,1,15,5,-7,7,10/4/2008,143,Mountaineer Field                                                          ,TEAM           ,Morgantown                                                                 ,WV,63500,FieldTurf                ,1980
2010,587077000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,0,7,768,West Virginia                                     ,Big 12 Conference                                                          ,1,14,BTEAM     ,16,18,116,116,-43,-43,67,67,93,93,13,18,5,5,0,2,0,20,-7,7,12/4/2010,143,Mountaineer Field                                                          ,TEAM           ,Morgantown                                                                 ,WV,63500,FieldTurf                ,1980
2009,625013000000000,UCF                                               ,Big East Conference/American Athletic                                      ,128,1,7,625,Samford                                           ,Southern                                                                   ,0,7,TIED      ,18,17,60,60,45,45,-11,-11,71,71,13,16,6,6,0,0,0,0,0,0,9/5/2009,146,Bright House Networks Stadium                                              ,TEAM           ,Orlando                                                                    ,FL,45301,Grass                    ,2007
2009,648016000000000,Connecticut                                       ,Big East Conference/American Athletic                                      ,164,1,13,648,South Carolina                                    ,Southeastern Conference                                                    ,0,0,ATEAM     ,20,12,57,57,43,43,100,100,65,65,16,19,9,10,1,0,5,0,13,13,1/2/2010,2,Legion Field                                                               ,NEUTRAL        ,Birmingham                                                                 ,AL,71594,FieldTurf                ,1927
2008,651013000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,1,10,128,UCF                                               ,Big East Conference/American Athletic                                      ,0,10,TIED      ,21,13,74,74,4,4,132,132,53,53,15,12,6,5,3,1,35,5,0,0,9/6/2008,146,Bright House Networks Stadium                                              ,TEAM           ,Orlando                                                                    ,FL,45301,Grass                    ,2007
2013,651013000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,0,6,128,UCF                                               ,Big East Conference/American Athletic                                      ,1,13,BTEAM     ,13,18,-82,-82,9,9,83,83,166,166,14,17,8,5,1,4,7,19,-7,7,11/29/2013,146,Bright House Networks Stadium                                              ,TEAM           ,Orlando                                                                    ,FL,45301,Grass                    ,2007
2008,651014000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,0,7,140,Cincinnati                                        ,Big East Conference/American Athletic                                      ,1,17,BTEAM     ,22,17,98,98,51,51,56,56,152,152,11,19,4,4,4,6,30,29,-10,10,10/30/2008,97,Nippert Stadium                                                            ,TEAM           ,Cincinnati                                                                 ,OH,38000,FieldTurf                ,1916
2010,651014000000000,Cincinnati                                        ,Big East Conference/American Athletic                                      ,140,0,13,651,South Florida                                     ,Big East Conference/American Athletic                                      ,1,17,BTEAM     ,11,21,8,8,81,81,220,220,103,103,24,11,12,2,1,2,10,15,-4,4,10/22/2010,97,Nippert Stadium                                                            ,TEAM           ,Cincinnati                                                                 ,OH,38000,FieldTurf                ,1916
2012,651014000000000,Cincinnati                                        ,Big East Conference/American Athletic                                      ,140,1,13,651,South Florida                                     ,Big East Conference/American Athletic                                      ,0,0,ATEAM     ,18,22,87,87,110,110,69,69,47,47,17,15,7,11,0,1,0,5,13,13,11/23/2012,97,Nippert Stadium                                                            ,TEAM           ,Cincinnati                                                                 ,OH,38000,FieldTurf                ,1916
2010,651015000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,1,17,147,Clemson                                           ,Atlantic Coast Conference                                                  ,0,13,ATEAM     ,15,15,42,42,33,33,156,156,187,187,15,21,3,8,4,0,30,0,4,4,12/31/2010,79,Bank of America Stadium                                                    ,NEUTRAL        ,Charlotte                                                                  ,NC,73248,Grass                    ,1996
2009,651016000000000,Connecticut                                       ,Big East Conference/American Athletic                                      ,164,0,13,651,South Florida                                     ,Big East Conference/American Athletic                                      ,1,7,ATEAM     ,10,26,24,24,109,109,110,110,88,88,9,11,2,4,2,3,13,15,6,6,12/5/2009,25,Rentschler Field                                                           ,TEAM           ,Hartford                                                                   ,CT,40000,Grass                    ,2003
2011,651016000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,0,3,164,Connecticut                                       ,Big East Conference/American Athletic                                      ,1,6,BTEAM     ,15,30,-11,-11,92,92,-18,-18,77,77,8,14,3,6,3,2,25,20,-3,3,10/15/2011,25,Rentschler Field                                                           ,TEAM           ,Hartford                                                                   ,CT,40000,Grass                    ,2003
2013,651016000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,1,10,164,Connecticut                                       ,Big East Conference/American Athletic                                      ,0,10,TIED      ,16,22,87,87,214,214,129,129,51,51,19,15,13,9,2,5,15,35,0,0,10/12/2013,25,Rentschler Field                                                           ,TEAM           ,Hartford                                                                   ,CT,40000,Grass                    ,2003
2009,651023000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,1,14,234,Florida State                                     ,Atlantic Coast Conference                                                  ,0,0,ATEAM     ,17,15,107,107,-4,-4,160,160,112,112,9,25,5,9,3,0,25,0,14,14,9/26/2009,33,Doak Campbell Stadium                                                      ,TEAM           ,Tallahassee                                                                ,FL,80000,Grass                    ,1950
2010,651024000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,0,7,235,Florida                                           ,Southeastern Conference                                                    ,1,7,TIED      ,22,10,142,142,62,62,68,68,102,102,11,22,7,11,3,6,17,25,0,0,9/11/2010,27,Ben Hill Griffin Stadium at Florida Field                                  ,TEAM           ,Gainesville                                                                ,FL,88548,Grass                    ,1930
2013,651029000000000,Houston                                           ,Big East Conference/American Athletic                                      ,288,1,21,651,South Florida                                     ,Big East Conference/American Athletic                                      ,0,10,ATEAM     ,15,16,32,32,32,32,180,180,112,112,20,18,5,8,5,0,32,0,11,11,10/31/2013,128,Reliant Stadium                                                            ,TEAM           ,Houston                                                                    ,TX,69500,Grass                    ,2002
2008,651037000000000,Louisville                                        ,Big East Conference/American Athletic                                      ,367,1,14,651,South Florida                                     ,Big East Conference/American Athletic                                      ,0,6,ATEAM     ,20,13,45,45,6,6,113,113,180,180,9,21,4,5,3,2,20,0,8,8,10/25/2008,54,Papa John's Cardinal Stadium                                               ,TEAM           ,Louisville                                                                 ,KY,42000,FieldTurf                ,1998
2012,651037000000000,Louisville                                        ,Big East Conference/American Athletic                                      ,367,1,14,651,South Florida                                     ,Big East Conference/American Athletic                                      ,0,3,ATEAM     ,20,18,69,69,25,25,127,127,66,66,11,13,0,7,1,2,10,20,11,11,10/20/2012,54,Papa John's Cardinal Stadium                                               ,TEAM           ,Louisville                                                                 ,KY,42000,FieldTurf                ,1998
2010,651042000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,0,0,415,Miami (Florida)                                   ,Atlantic Coast Conference                                                  ,1,0,TIED      ,20,21,63,63,-32,-32,39,39,64,64,12,15,8,9,2,3,5,15,0,0,11/27/2010,30,Sun Life Stadium                                                           ,TEAM           ,Miami                                                                      ,FL,75235,Grass                    ,1987
2012,651047000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,1,13,466,Nevada                                            ,Mountain West Conference                                                   ,0,21,BTEAM     ,20,22,93,93,76,76,120,120,153,153,17,20,8,7,11,4,69,30,-8,8,9/8/2012,90,Mackay Stadium                                                             ,TEAM           ,Reno                                                                       ,NV,31000,FieldTurf                ,1966
2009,651050000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,1,3,503,Northern Illinois                                 ,Mid-American Conference                                                    ,0,3,TIED      ,12,18,-1,-1,42,42,98,98,101,101,12,16,5,7,1,2,10,13,0,0,1/2/2010,106,Rogers Centre                                                              ,NEUTRAL        ,Toronto                                                                    ,ON,65673,FieldTurf                ,1989
2011,651051000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,1,16,513,Notre Dame                                        ,Independent                                                                ,0,0,ATEAM     ,20,21,96,96,87,87,61,61,22,22,14,15,6,8,3,1,16,5,16,16,9/3/2011,49,Notre Dame Stadium                                                         ,TEAM           ,South Bend                                                                 ,IN,80795,Grass                    ,1930
2011,651055000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,0,17,545,Pittsburgh                                        ,Atlantic Coast Conference                                                  ,1,20,BTEAM     ,25,25,111,111,153,153,106,106,118,118,14,23,6,9,3,4,25,30,-3,3,9/29/2011,110,Heinz Field                                                                ,TEAM           ,Pittsburgh                                                                 ,PA,64450,Grass                    ,2001
2009,651059000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,0,0,587,Rutgers                                           ,Big East Conference/American Athletic                                      ,1,13,BTEAM     ,12,21,-32,-32,5,5,67,67,141,141,10,24,3,11,1,1,10,5,-13,13,11/12/2009,86,High Point Solutions Stadium                                               ,TEAM           ,Piscataway                                                                 ,NJ,52454,FieldTurf                ,1994
2013,651059000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,1,21,651,South Florida                                     ,Big East Conference/American Athletic                                      ,0,6,ATEAM     ,14,15,-35,-35,87,87,119,119,182,182,15,21,3,9,7,2,49,30,15,15,12/7/2013,86,High Point Solutions Stadium                                               ,TEAM           ,Piscataway                                                                 ,NJ,52454,FieldTurf                ,1994
2009,651069000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,1,14,688,Syracuse                                          ,Atlantic Coast Conference                                                  ,0,13,ATEAM     ,17,17,155,155,-4,-4,107,107,169,169,11,22,5,8,1,0,10,0,1,1,10/3/2009,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,1980
2011,651069000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,1,17,688,Syracuse                                          ,Atlantic Coast Conference                                                  ,0,10,ATEAM     ,20,21,94,94,61,61,125,125,119,119,17,17,6,8,3,3,36,10,7,7,11/11/2011,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,1980
2012,651069000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,0,7,690,Temple                                            ,Big East Conference/American Athletic                                      ,1,6,ATEAM     ,20,25,164,164,70,70,64,64,102,102,14,12,7,2,0,0,0,0,1,1,10/6/2012,109,Lincoln Financial Field                                                    ,TEAM           ,Philadelphia                                                               ,PA,66000,Grass                    ,2003
2008,651077000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,0,7,768,West Virginia                                     ,Big 12 Conference                                                          ,1,7,TIED      ,22,16,3,3,59,59,67,67,73,73,17,13,4,4,0,2,0,30,0,0,12/6/2008,143,Mountaineer Field                                                          ,TEAM           ,Morgantown                                                                 ,WV,63500,FieldTurf                ,1980
2010,651077000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,0,3,768,West Virginia                                     ,Big 12 Conference                                                          ,1,17,BTEAM     ,18,10,46,46,43,43,119,119,165,165,12,23,3,5,1,1,14,0,-14,14,9/12/2009,148,L.T. Smith Stadium                                                         ,TEAM           ,Bowling Green                                                              ,KY,17500,AstroPlay                ,1968
2009,654014000000000,Cincinnati                                        ,Big East Conference/American Athletic                                      ,140,1,49,654,Southeast Missouri State                          ,OVC                                                                        ,0,3,ATEAM     ,13,17,64,64,45,45,260,260,140,140,26,23,7,9,4,0,19,0,46,46,9/12/2009,97,Nippert Stadium                                                            ,TEAM           ,Cincinnati                                                                 ,OH,38000,FieldTurf                ,1916
2012,663005000000000,SMU                                               ,Big East Conference/American Athletic                                      ,663,0,3,51,Baylor                                            ,Big 12 Conference                                                          ,1,21,BTEAM     ,14,15,47,47,106,106,69,69,199,199,31,22,15,7,5,3,40,25,-18,18,9/2/2012,132,Floyd Casey Stadium                                                        ,TEAM           ,Waco                                                                       ,TX,50000,Prestige System          ,1950
2008,663013000000000,UCF                                               ,Big East Conference/American Athletic                                      ,128,1,10,663,SMU                                               ,Big East Conference/American Athletic                                      ,0,10,TIED      ,14,13,78,78,8,8,32,32,156,156,9,24,5,7,1,1,5,7,0,0,10/4/2008,146,Bright House Networks Stadium                                              ,TEAM           ,Orlando                                                                    ,FL,45301,Grass                    ,2007
2010,663013000000000,SMU                                               ,Big East Conference/American Athletic                                      ,663,0,0,128,UCF                                               ,Big East Conference/American Athletic                                      ,1,7,BTEAM     ,11,25,43,43,93,93,89,89,123,123,13,15,6,4,3,0,30,0,-7,7,12/4/2010,146,Bright House Networks Stadium                                              ,TEAM           ,Orlando                                                                    ,FL,45301,Grass                    ,2007
2012,663013000000000,UCF                                               ,Big East Conference/American Athletic                                      ,128,1,21,663,SMU                                               ,Big East Conference/American Athletic                                      ,0,10,ATEAM     ,18,17,135,135,73,73,57,57,68,68,9,20,4,11,0,0,0,0,11,11,11/3/2012,146,Bright House Networks Stadium                                              ,TEAM           ,Orlando                                                                    ,FL,45301,Grass                    ,2007
2013,663014000000000,Cincinnati                                        ,Big East Conference/American Athletic                                      ,140,1,14,663,SMU                                               ,Big East Conference/American Athletic                                      ,0,10,ATEAM     ,10,17,16,16,38,38,148,148,243,243,15,26,1,3,5,3,50,24,4,4,11/9/2013,97,Nippert Stadium                                                            ,TEAM           ,Cincinnati                                                                 ,OH,38000,FieldTurf                ,1916
2010,663020000000000,SMU                                               ,Big East Conference/American Athletic                                      ,663,1,10,196,East Carolina                                     ,Conference USA                                                             ,0,14,BTEAM     ,17,15,57,57,60,60,118,118,118,118,19,17,9,6,3,1,25,5,-4,4,11/26/2010,81,Dowdy Ficklen Stadium                                                      ,TEAM           ,Greenville                                                                 ,NC,43000,Grass                    ,1963
2009,663029000000000,Houston                                           ,Big East Conference/American Athletic                                      ,288,1,24,663,SMU                                               ,Big East Conference/American Athletic                                      ,0,3,ATEAM     ,20,15,82,82,158,158,115,115,23,23,19,18,5,7,2,2,30,10,21,21,10/24/2009,126,Robertson Stadium                                                          ,TEAM           ,Houston                                                                    ,TX,32000,Grass                    ,1946
2011,663029000000000,SMU                                               ,Big East Conference/American Athletic                                      ,663,0,0,288,Houston                                           ,Big East Conference/American Athletic                                      ,1,13,BTEAM     ,11,22,22,22,91,91,82,82,166,166,14,23,5,8,0,2,0,10,-13,13,11/19/2011,126,Robertson Stadium                                                          ,TEAM           ,Houston                                                                    ,TX,32000,Grass                    ,1946
2013,663029000000000,Houston                                           ,Big East Conference/American Athletic                                      ,288,1,24,663,SMU                                               ,Big East Conference/American Athletic                                      ,0,0,ATEAM     ,11,16,14,14,62,62,182,182,105,105,27,25,10,10,8,3,69,20,24,24,11/29/2013,128,Reliant Stadium                                                            ,TEAM           ,Houston                                                                    ,TX,69500,Grass                    ,2002
2011,663040000000000,Memphis                                           ,Big East Conference/American Athletic                                      ,404,0,0,663,SMU                                               ,Big East Conference/American Athletic                                      ,1,28,BTEAM     ,14,9,-2,-2,60,60,24,24,156,156,20,25,8,9,3,2,20,10,-28,28,9/24/2011,115,Liberty Bowl                                                               ,TEAM           ,Memphis                                                                    ,TN,62380,FieldTurf                ,1965
2013,663040000000000,Memphis                                           ,Big East Conference/American Athletic                                      ,404,0,3,663,SMU                                               ,Big East Conference/American Athletic                                      ,1,31,BTEAM     ,16,15,69,69,53,53,56,56,232,232,18,25,5,7,0,2,0,25,-28,28,10/19/2013,115,Liberty Bowl                                                               ,TEAM           ,Memphis                                                                    ,TN,62380,FieldTurf                ,1965
2013,663065000000000,SMU                                               ,Big East Conference/American Athletic                                      ,663,1,3,651,South Florida                                     ,Big East Conference/American Athletic                                      ,0,0,ATEAM     ,6,12,19,19,33,33,171,171,83,83,25,18,4,4,2,0,7,0,3,3,11/23/2013,35,Raymond James Stadium                                                      ,TEAM           ,Tampa                                                                      ,FL,41441,Grass                    ,1998
2010,663070000000000,SMU                                               ,Big East Conference/American Athletic                                      ,663,0,7,704,UTEP                                              ,Conference USA                                                             ,1,21,BTEAM     ,8,18,35,35,87,87,92,92,174,174,14,25,4,10,1,2,5,20,-14,14,9/28/2013,125,Amon Carter Stadium                                                        ,TEAM           ,Fort Worth                                                                 ,TX,46000,Grass                    ,1929
2008,664013000000000,UCF                                               ,Big East Conference/American Athletic                                      ,128,0,6,664,Southern Mississippi                              ,Conference USA                                                             ,1,7,BTEAM     ,10,23,43,43,50,50,106,106,82,82,17,22,10,10,3,0,22,0,-1,1,11/8/2008,146,Bright House Networks Stadium                                              ,TEAM           ,Orlando                                                                    ,FL,45301,Grass                    ,2007
2010,664040000000000,Memphis                                           ,Big East Conference/American Athletic                                      ,404,0,6,664,Southern Mississippi                              ,Conference USA                                                             ,1,24,BTEAM     ,13,22,91,91,70,70,81,81,174,174,15,20,11,8,1,4,12,19,-18,18,10/16/2010,115,Liberty Bowl                                                               ,TEAM           ,Memphis                                                                    ,TN,62380,FieldTurf                ,1965
2012,664040000000000,Memphis                                           ,Big East Conference/American Athletic                                      ,404,1,21,664,Southern Mississippi                              ,Conference USA                                                             ,0,10,ATEAM     ,25,14,148,148,70,70,-4,-4,80,80,11,18,3,11,2,3,10,20,11,11,11/24/2012,115,Liberty Bowl                                                               ,TEAM           ,Memphis                                                                    ,TN,62380,FieldTurf                ,1965
2013,665029000000000,Houston                                           ,Big East Conference/American Athletic                                      ,288,1,27,665,Southern University                               ,Southwestern                                                               ,0,6,ATEAM     ,22,9,164,164,-65,-65,131,131,174,174,25,22,10,3,5,5,25,45,21,21,8/30/2013,128,Reliant Stadium                                                            ,TEAM           ,Houston                                                                    ,TX,69500,Grass                    ,2002
2010,670029000000000,Houston                                           ,Big East Conference/American Athletic                                      ,288,1,54,670,Texas State                                       ,Sun Belt Conference                                                        ,0,7,ATEAM     ,8,29,62,62,133,133,276,276,144,144,22,15,3,7,2,2,10,15,47,47,9/4/2010,126,Robertson Stadium                                                          ,TEAM           ,Houston                                                                    ,TX,32000,Grass                    ,1946
2010,683065000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,1,31,683,Stony Brook                                       ,Big South                                                                  ,0,14,ATEAM     ,20,15,9,9,43,43,190,190,60,60,19,12,7,5,5,3,25,10,17,17,9/4/2010,35,Raymond James Stadium                                                      ,TEAM           ,Tampa                                                                      ,FL,41441,Grass                    ,1998
2010,688014000000000,Cincinnati                                        ,Big East Conference/American Athletic                                      ,140,0,7,688,Syracuse                                          ,Atlantic Coast Conference                                                  ,1,17,BTEAM     ,11,23,95,95,58,58,111,111,103,103,12,18,5,7,2,3,14,20,-10,10,10/30/2010,97,Nippert Stadium                                                            ,TEAM           ,Cincinnati                                                                 ,OH,38000,FieldTurf                ,1916
2012,688014000000000,Cincinnati                                        ,Big East Conference/American Athletic                                      ,140,1,14,688,Syracuse                                          ,Atlantic Coast Conference                                                  ,0,17,BTEAM     ,22,27,27,27,130,130,167,167,180,180,15,25,5,12,6,2,45,24,-3,3,11/3/2012,97,Nippert Stadium                                                            ,TEAM           ,Cincinnati                                                                 ,OH,38000,FieldTurf                ,1916
2009,688016000000000,Connecticut                                       ,Big East Conference/American Athletic                                      ,164,1,28,688,Syracuse                                          ,Atlantic Coast Conference                                                  ,0,17,ATEAM     ,17,23,72,72,71,71,68,68,159,159,9,17,4,5,2,2,13,5,11,11,11/28/2009,25,Rentschler Field                                                           ,TEAM           ,Hartford                                                                   ,CT,40000,Grass                    ,2003
2010,688059000000000,Rutgers                                           ,Big East Conference/American Athletic                                      ,587,0,3,688,Syracuse                                          ,Atlantic Coast Conference                                                  ,1,7,BTEAM     ,25,18,119,119,50,50,30,30,119,119,12,16,9,9,2,1,15,15,-4,4,11/13/2010,86,High Point Solutions Stadium                                               ,TEAM           ,Piscataway                                                                 ,NJ,52454,FieldTurf                ,1994
2008,688065000000000,South Florida                                     ,Big East Conference/American Athletic                                      ,651,1,21,688,Syracuse                                          ,Atlantic Coast Conference                                                  ,0,13,ATEAM     ,13,19,60,60,88,88,144,144,122,122,11,17,2,7,4,3,35,15,8,8,10/18/2008,35,Raymond James Stadium                                                      ,TEAM           ,Tampa                                                                      ,FL,41441,Grass                    ,1998
2011,690001000000000,Temple                                            ,Big East Conference/American Athletic                                      ,690,1,28,5,Akron                                             ,Mid-American Conference                                                    ,0,3,ATEAM     ,24,19,172,172,112,112,42,42,116,116,9,13,6,7,4,1,35,5,25,25,9/10/2011,154,InfoCision Stadium-Summa Field                                             ,TEAM           ,Akron                                                                      ,OH,30000,ProGrass                 ,2009
2011,690005000000000,Temple                                            ,Big East Conference/American Athletic                                      ,690,1,28,47,Ball State                                        ,Mid-American Conference                                                    ,0,0,ATEAM     ,30,12,167,167,43,43,87,87,100,100,9,19,2,8,2,3,10,20,28,28,10/8/2011,48,Scheumann Stadium                                                          ,TEAM           ,Munice                                                                     ,IN,22500,FieldTurf                ,1967
2011,690007000000000,Temple                                            ,Big East Conference/American Athletic                                      ,690,0,0,71,Bowling Green                                     ,Mid-American Conference                                                    ,1,3,BTEAM     ,25,17,92,92,68,68,29,29,69,69,5,18,2,8,0,4,0,30,-3,3,10/22/2011,96,Doyt Perry Stadium                                                         ,TEAM           ,Bowling Green                                                              ,OH,28599,FieldTurf                ,1966
2008,690009000000000,Temple                                            ,Big East Conference/American Athletic                                      ,690,0,21,86,Buffalo                                           ,Mid-American Conference                                                    ,1,14,ATEAM     ,18,14,-17,-17,47,47,152,152,93,93,15,15,2,5,1,4,10,21,7,7,9/13/2008,91,UB Stadium                                                                 ,TEAM           ,Buffalo                                                                    ,NY,31000,Sportexe Momentum        ,1993
2010,690009000000000,Temple                                            ,Big East Conference/American Athletic                                      ,690,1,28,86,Buffalo                                           ,Mid-American Conference                                                    ,0,0,ATEAM     ,28,22,131,131,85,85,-13,-13,44,44,9,9,2,7,1,1,14,5,28,28,10/23/2010,91,UB Stadium                                                                 ,TEAM           ,Buffalo                                                                    ,NY,31000,Sportexe Momentum        ,1993
2013,690014000000000,Cincinnati                                        ,Big East Conference/American Athletic                                      ,140,1,28,690,Temple                                            ,Big East Conference/American Athletic                                      ,0,20,ATEAM     ,21,20,106,106,125,125,131,131,209,209,22,11,7,5,5,2,60,10,8,8,10/11/2013,97,Nippert Stadium                                                            ,TEAM           ,Cincinnati                                                                 ,OH,38000,FieldTurf                ,1916
2008,690033000000000,Temple                                            ,Big East Conference/American Athletic                                      ,690,0,17,331,Kent State                                        ,Mid-American Conference                                                    ,1,21,BTEAM     ,20,26,62,62,79,79,196,196,181,181,14,17,5,4,2,1,15,5,-4,4,11/12/2008,100,Dix Stadium                                                                ,TEAM           ,Kent                                                                       ,OH,29287,FieldTurf                ,1969
2010,690033000000000,Temple                                            ,Big East Conference/American Athletic                                      ,690,1,14,331,Kent State                                        ,Mid-American Conference                                                    ,0,3,ATEAM     ,21,9,57,57,14,14,79,79,105,105,19,14,5,5,1,4,9,20,11,11,11/6/2010,100,Dix Stadium                                                                ,TEAM           ,Kent                                                                       ,OH,29287,FieldTurf                ,1969
2012,690037000000000,Louisville                                        ,Big East Conference/American Athletic                                      ,367,1,31,690,Temple                                            ,Big East Conference/American Athletic                                      ,0,17,ATEAM     ,14,24,113,113,193,193,219,219,33,33,18,6,7,3,4,4,35,25,14,14,11/3/2012,54,Papa John's Cardinal Stadium                                               ,TEAM           ,Louisville                                                                 ,KY,42000,FieldTurf                ,1998
2011,690039000000000,Temple                                            ,Big East Conference/American Athletic                                      ,690,1,28,392,Maryland                                          ,Atlantic Coast Conference                                                  ,0,0,ATEAM     ,31,12,157,157,-64,-64,115,115,105,105,6,20,0,9,1,0,15,0,28,28,9/24/2011,64,Byrd Stadium                                                               ,TEAM           ,College Park                                                               ,MD,62000,Grass                    ,1950
